"지역(1)",2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"지역(1)",도서관 수(관),총 연면적(천㎡),1관당 평균 연면적(㎡),총 좌석 수(석),1관당 평균 좌석수(석),총 결산 예산액(백만원),1관당 결산 예산액(백만원),직원 수(명),1관당 직원 수(명),사서자격증 보유자(명),1관당 평균 사서자격증 보유자(명),총 도서(인쇄) 수(권),총 비도서 수(점),총 연속간행물 수(종),총 전자자료 수(종),1관당 평균 도서(인쇄) 수(권),1관당 비도서 수(점),1관당 연속간행물 수(종),1관당 전자자료 수(종),총 방문자 수(명),1관당 방문자 수(명),연간 대출 도서 수(권),자료 구입비(백만원),1관당 자료 구입비(백만원)
"전국",1208,3136,2596,366558,303,1250124,1035,18109,15,7636,6.3,120936866,4236196,106545,55485166,100113,3507,88,45931,138939388,115016,133807367,111570,92
"서울",195,370,1899,46052,236,186062,954,3132.5,16.1,1860,9.5,16014395,589475,23343,29900032,82125,3023,120,153333,31288730,160455,24443653,17709,91
"부산",49,145,2966,18519,378,63760,1301,838.5,17.1,473,9.7,6579925,271191,7341,331009,134284,5535,150,6755,7316323,149313,7128621,6710,137
"대구",44,91,2091,11271,256,40770,927,624.5,14.2,348,7.9,4871439,177466,5696,571389,110715,4033,129,12986,5953083,135297,6073654,4469,102
"인천",58,134,2313,17338,299,64167,1106,994,17.1,421,7.3,5085542,196579,3382,1407994,87682,3389,58,24276,7749321,133609,5902010,4817,83
"광주",24,96,4033,10095,421,34908,1455,510.5,21.3,175,7.3,2752991,53095,3914,1578167,114708,2212,163,65757,3326495,138604,2625812,2410,100
"대전",26,80,3078,9116,351,25665,987,391,15,168,6.5,3208202,127864,2174,40828,123392,4918,84,1570,2703163,103968,3966790,2338,90
"울산",19,51,2724,5606,295,21082,1110,315.5,16.6,116,6.1,2224857,138958,2464,63817,117098,7314,130,3359,3285120,172901,2846487,2040,107
"세종",13,25,1961,2653,204,27036,2080,102.5,7.9,72,5.5,724691,9004,585,4786,55745,693,45,368,738250,56788,1602256,2702,208
"경기",300,999,3331,107441,358,334927,1116,5331,17.8,1857,6.2,34493595,1158331,25958,10065492,114979,3861,87,33552,42422317,141408,45587166,31851,106
"강원",60,128,2138,15485,258,49883,831,618,10.3,235,3.9,4917723,167693,3394,952959,81962,2795,57,15883,4527619,75460,2746884,3892,65
"충북",54,123,2292,10737,199,47542,880,614,11.4,207,3.8,4569781,105561,3637,1199317,84626,1955,67,22210,2406996,44574,3759852,4955,92
"충남",63,159,2530,18466,293,65439,1039,780,12.4,255,4,6243824,153068,3310,3851545,99108,2430,53,61136,4441942,70507,5192649,5558,88
"전북",64,153,2394,16273,254,66979,1047,692,10.8,246,3.8,5059054,125140,2208,1980241,79048,1955,35,30941,2970643,46416,2811813,3294,51
"전남",71,163,2299,21316,300,60256,849,844,11.9,261,3.7,6694620,299617,3860,958516,94290,4220,54,13500,4499951,63380,3435821,5091,72
"경북",70,166,2373,24476,350,63292,904,909.5,13,343,4.9,6607377,202499,7045,1387164,94391,2893,101,19817,5378902,76841,5061795,5554,79
"경남",76,193,2540,24236,319,78990,1039,1137.5,15,508,6.7,8202683,389419,6917,1088461,107930,5124,91,14322,8402980,110566,8432756,6424,85
"제주",22,53,2440,7478,340,19358,880,274,12.5,91,4.1,2686167,71236,1317,103449,122099,3238,60,4702,1527553,69434,2189348,1748,79
